date,open,low,high,close,volume
2025-01-07 06:54:00,1.04127,1.0412,1.0413,1.0412,132
2025-01-07 06:55:00,1.0412,1.0411,1.0412,1.04112,153
2025-01-07 06:56:00,1.04112,1.0411,1.04116,1.04112,102
2025-01-07 06:57:00,1.04112,1.04106,1.04114,1.04114,170
2025-01-07 06:58:00,1.04114,1.04114,1.04144,1.04141,185
2025-01-07 06:59:00,1.04141,1.0413,1.04142,1.04132,152
2025-01-07 07:00:00,1.04132,1.04131,1.04147,1.04139,187
2025-01-07 07:01:00,1.04139,1.04111,1.04142,1.04116,296
2025-01-07 07:02:00,1.04116,1.04109,1.04126,1.04125,220
2025-01-07 07:03:00,1.04125,1.04125,1.04147,1.04135,230
2025-01-07 07:04:00,1.04135,1.04135,1.04154,1.04153,209
2025-01-07 07:05:00,1.04153,1.04146,1.04162,1.04161,210
2025-01-07 07:06:00,1.04161,1.04155,1.04167,1.04158,118
2025-01-07 07:07:00,1.04158,1.04138,1.04165,1.04138,233
2025-01-07 07:08:00,1.04138,1.041,1.04141,1.04106,271
2025-01-07 07:09:00,1.04106,1.04086,1.04108,1.04088,173
2025-01-07 07:10:00,1.04088,1.04087,1.04108,1.04102,226
2025-01-07 07:11:00,1.04102,1.04101,1.04122,1.04117,190
2025-01-07 07:12:00,1.04117,1.04111,1.04126,1.04126,167
2025-01-07 07:13:00,1.04126,1.04105,1.04132,1.04111,152
2025-01-07 07:14:00,1.04111,1.04094,1.04113,1.04095,203
2025-01-07 07:15:00,1.04095,1.04071,1.04095,1.04071,288
2025-01-07 07:16:00,1.04071,1.0405,1.04073,1.04071,195
2025-01-07 07:17:00,1.04071,1.04057,1.04071,1.04068,251
2025-01-07 07:18:00,1.04068,1.04066,1.04086,1.04086,186
2025-01-07 07:19:00,1.04086,1.04084,1.04124,1.04111,201
2025-01-07 07:20:00,1.04111,1.04101,1.0412,1.04109,243
2025-01-07 07:21:00,1.04109,1.04082,1.0411,1.04085,233
2025-01-07 07:22:00,1.04085,1.0407,1.04085,1.04074,204
2025-01-07 07:23:00,1.04074,1.0406,1.0408,1.0406,155
2025-01-07 07:24:00,1.0406,1.04035,1.04064,1.04051,225
2025-01-07 07:25:00,1.04051,1.0405,1.04077,1.04066,247
2025-01-07 07:26:00,1.04066,1.04052,1.04068,1.04054,113
2025-01-07 07:27:00,1.04054,1.04054,1.04076,1.04075,268
2025-01-07 07:28:00,1.04075,1.04054,1.04075,1.04057,190
2025-01-07 07:29:00,1.04057,1.04044,1.0406,1.0405,200
2025-01-07 07:30:00,1.0405,1.04034,1.04054,1.04035,178
2025-01-07 07:31:00,1.04035,1.04024,1.04039,1.04024,196
2025-01-07 07:32:00,1.04024,1.04022,1.04039,1.04029,134
2025-01-07 07:33:00,1.04029,1.04022,1.04047,1.04022,148
2025-01-07 07:34:00,1.04022,1.04014,1.04031,1.04016,138
2025-01-07 07:35:00,1.04016,1.04014,1.04051,1.0405,232
2025-01-07 07:36:00,1.0405,1.04025,1.04058,1.04025,276
2025-01-07 07:37:00,1.04025,1.04003,1.04029,1.04004,139
2025-01-07 07:38:00,1.04004,1.03981,1.04013,1.03996,219
2025-01-07 07:39:00,1.03996,1.03996,1.04036,1.04026,246
2025-01-07 07:40:00,1.04026,1.04008,1.04027,1.04015,325
2025-01-07 07:41:00,1.04015,1.03985,1.04018,1.03985,239
2025-01-07 07:42:00,1.03985,1.03937,1.03989,1.03937,243
2025-01-07 07:43:00,1.03937,1.03915,1.03956,1.03955,578
2025-01-07 07:44:00,1.03955,1.03935,1.03965,1.03939,224
2025-01-07 07:45:00,1.03939,1.03933,1.03945,1.03936,199
2025-01-07 07:46:00,1.03936,1.03899,1.03937,1.0393,370
2025-01-07 07:47:00,1.0393,1.03919,1.03966,1.03961,404
2025-01-07 07:48:00,1.03961,1.03946,1.03962,1.03962,324
2025-01-07 07:49:00,1.03962,1.0396,1.03985,1.03967,321
2025-01-07 07:50:00,1.03967,1.03953,1.03967,1.03953,255
2025-01-07 07:51:00,1.03953,1.03922,1.03953,1.03923,335
2025-01-07 07:52:00,1.03923,1.03917,1.03934,1.03917,415
2025-01-07 07:53:00,1.03917,1.03895,1.03922,1.03898,370
